UserID,No of Movies,Average Rating
148,624,4.0
463,123,3.0
471,105,4.0
496,119,4.0
833,21,4.0
1088,1176,3.0
1238,45,4.0
1342,92,3.0
1580,37,4.0
1591,314,4.0
1645,522,4.0
1829,30,3.0
1959,61,5.0
2122,208,4.0
2142,77,4.0
2366,41,3.0
2659,161,4.0
2866,205,3.0
3175,87,4.0
3749,118,4.0
3794,44,3.0
3918,26,3.0
3997,315,4.0
4101,95,4.0
4519,42,4.0
4818,50,4.0
4900,23,4.0
4935,22,4.0
5156,320,4.0
5300,282,4.0
5518,113,4.0
5803,66,3.0
243,33,4.0
392,487,3.0
540,39,3.0
623,172,4.0
737,217,4.0
858,190,4.0
897,203,4.0
1025,33,4.0
1084,180,3.0
1127,131,3.0
1395,312,4.0
1460,28,3.0
1483,258,3.0
1507,108,4.0
1522,78,4.0
1721,115,2.0
1896,207,4.0
1990,35,4.0
2235,142,4.0
2387,62,4.0
2563,27,3.0
2580,74,4.0
2811,81,4.0
2999,135,3.0
3179,25,3.0
3226,124,4.0
3475,622,3.0
3698,115,3.0
4158,23,4.0
4161,459,3.0
4190,99,3.0
4219,111,4.0
4929,42,4.0
5614,837,4.0
31,119,4.0
516,294,3.0
1139,182,4.0
1143,53,4.0
1270,29,3.0
1303,677,3.0
1322,384,4.0
1339,213,3.0
1352,158,4.0
1618,91,4.0
1650,213,4.0
1699,348,4.0
1903,197,4.0
2393,145,4.0
2572,151,4.0
2711,38,3.0
2776,350,4.0
2821,30,4.0
2996,477,3.0
3000,106,3.0
3213,137,4.0
3352,96,3.0
3488,21,3.0
3704,219,4.0
3761,171,4.0
4391,37,4.0
4489,424,4.0
5071,81,4.0
5117,21,3.0
5173,138,3.0
5287,212,4.0
5345,333,4.0
5984,30,5.0
85,39,3.0
137,201,4.0
251,73,4.0
451,209,5.0
580,46,3.0
808,275,3.0
1265,343,3.0
1884,707,4.0
1975,49,4.0
2025,119,4.0
2231,436,4.0
2259,229,4.0
2443,26,3.0
2488,20,4.0
2525,59,4.0
2721,34,4.0
2748,326,3.0
2923,21,4.0
3089,53,4.0
3098,92,3.0
3220,72,4.0
3490,244,4.0
3796,202,4.0
3876,44,4.0
3986,50,4.0
4042,446,3.0
4078,266,3.0
4186,640,3.0
4239,68,4.0
4364,199,3.0
4684,64,4.0
4937,214,4.0
5074,761,3.0
5155,26,3.0
5223,204,3.0
5308,40,4.0
5482,375,4.0
65,121,4.0
458,43,4.0
879,40,4.0
883,36,3.0
1223,146,4.0
1977,67,4.0
2096,121,4.0
2249,70,4.0
2392,43,4.0
2622,37,4.0
2655,76,3.0
2656,132,4.0
2833,53,3.0
2924,46,4.0
3377,168,4.0
3425,492,4.0
3561,259,4.0
3566,31,4.0
3834,562,4.0
3913,167,4.0
4000,65,4.0
4294,157,3.0
4307,34,4.0
4383,20,3.0
4957,744,3.0
5157,90,4.0
5217,132,3.0
5433,725,3.0
5513,66,4.0
5578,84,4.0
5682,608,4.0
